"system","user","cores","threads","setthreads","size","actual_mult","actual_solve","maxDiff"
"138","Darwin","AW","2","4","4","1024","0.665999999999997","1.16499999999999","6.48157083560363e-11"
"139","Darwin","AW","2","4","4","1024","0.686000000000007","1.20099999999999","6.48157083560363e-11"
"140","Darwin","AW","2","4","4","1024","0.674000000000007","1.21600000000001","6.48157083560363e-11"
"141","Darwin","AW","2","4","4","1024","0.675000000000011","1.19200000000001","6.48157083560363e-11"
"142","Darwin","AW","2","4","4","1024","0.664999999999992","1.18899999999999","6.48157083560363e-11"
"143","Darwin","AW","2","4","4","1024","0.664999999999992","1.19","6.48157083560363e-11"
"144","Darwin","AW","2","4","4","1024","0.675999999999988","1.196","6.48157083560363e-11"
"145","Darwin","AW","0","0","0","0","0","0","0"
"146","Darwin","AW","0","0","0","0","0","0","0"
"147","Darwin","AW","0","0","0","0","0","0","0"
"148","Darwin","AW","0","0","0","0","0","0","0"
"149","Darwin","AW","0","0","0","0","0","0","0"
"150","Darwin","AW","0","0","0","0","0","0","0"
"151","Darwin","AW","0","0","0","0","0","0","0"
"152","Darwin","AW","0","0","0","0","0","0","0"
"153","Darwin","AW","0","0","0","0","0","0","0"
"154","Darwin","AW","0","0","0","0","0","0","0"
"155","Darwin","AW","0","0","0","0","0","0","0"
"156","Darwin","AW","0","0","0","0","0","0","0"
"157","Darwin","AW","0","0","0","0","0","0","0"
"158","Darwin","AW","0","0","0","0","0","0","0"
"159","Darwin","AW","0","0","0","0","0","0","0"
"160","Darwin","AW","0","0","0","0","0","0","0"
"161","Darwin","AW","0","0","0","0","0","0","0"
"162","Darwin","AW","0","0","0","0","0","0","0"
"163","Darwin","AW","0","0","0","0","0","0","0"
"164","Darwin","AW","0","0","0","0","0","0","0"
"165","Darwin","AW","0","0","0","0","0","0","0"
"166","Darwin","AW","0","0","0","0","0","0","0"
"167","Darwin","AW","0","0","0","0","0","0","0"
"168","Darwin","AW","0","0","0","0","0","0","0"
"169","Darwin","AW","0","0","0","0","0","0","0"
"170","Darwin","AW","0","0","0","0","0","0","0"
"171","Darwin","AW","0","0","0","0","0","0","0"
"172","Darwin","AW","0","0","0","0","0","0","0"
"173","Darwin","AW","0","0","0","0","0","0","0"
"174","Darwin","AW","0","0","0","0","0","0","0"
"175","Darwin","AW","0","0","0","0","0","0","0"
"176","Darwin","AW","0","0","0","0","0","0","0"
"177","Darwin","AW","0","0","0","0","0","0","0"
"178","Darwin","AW","0","0","0","0","0","0","0"
"179","Darwin","AW","0","0","0","0","0","0","0"
"180","Darwin","AW","0","0","0","0","0","0","0"
"181","Darwin","AW","0","0","0","0","0","0","0"
"182","Darwin","AW","0","0","0","0","0","0","0"
"183","Darwin","AW","0","0","0","0","0","0","0"
"184","Darwin","AW","0","0","0","0","0","0","0"
"185","Darwin","AW","0","0","0","0","0","0","0"
"186","Darwin","AW","0","0","0","0","0","0","0"
"187","Darwin","AW","0","0","0","0","0","0","0"
"188","Darwin","AW","0","0","0","0","0","0","0"
"189","Darwin","AW","0","0","0","0","0","0","0"
"190","Darwin","AW","0","0","0","0","0","0","0"
"191","Darwin","AW","0","0","0","0","0","0","0"
"192","Darwin","AW","0","0","0","0","0","0","0"
"193","Darwin","AW","0","0","0","0","0","0","0"
"194","Darwin","AW","0","0","0","0","0","0","0"
"195","Darwin","AW","0","0","0","0","0","0","0"
"196","Darwin","AW","0","0","0","0","0","0","0"
"197","Darwin","AW","0","0","0","0","0","0","0"
"198","Darwin","AW","0","0","0","0","0","0","0"
"199","Darwin","AW","0","0","0","0","0","0","0"
"200","Darwin","AW","0","0","0","0","0","0","0"
"201","Darwin","AW","0","0","0","0","0","0","0"
"202","Darwin","AW","0","0","0","0","0","0","0"
"203","Darwin","AW","0","0","0","0","0","0","0"
"204","Darwin","AW","0","0","0","0","0","0","0"
"205","Darwin","AW","0","0","0","0","0","0","0"
"206","Darwin","AW","0","0","0","0","0","0","0"
"207","Darwin","AW","0","0","0","0","0","0","0"
"208","Darwin","AW","0","0","0","0","0","0","0"
"209","Darwin","AW","0","0","0","0","0","0","0"
"210","Darwin","AW","0","0","0","0","0","0","0"
"211","Darwin","AW","0","0","0","0","0","0","0"
"212","Darwin","AW","0","0","0","0","0","0","0"
"213","Darwin","AW","0","0","0","0","0","0","0"
"214","Darwin","AW","0","0","0","0","0","0","0"
"215","Darwin","AW","0","0","0","0","0","0","0"
"216","Darwin","AW","0","0","0","0","0","0","0"
"217","Darwin","AW","0","0","0","0","0","0","0"
"218","Darwin","AW","0","0","0","0","0","0","0"
"219","Darwin","AW","0","0","0","0","0","0","0"
"220","Darwin","AW","0","0","0","0","0","0","0"
"221","Darwin","AW","0","0","0","0","0","0","0"
"222","Darwin","AW","0","0","0","0","0","0","0"
"223","Darwin","AW","0","0","0","0","0","0","0"
"224","Darwin","AW","0","0","0","0","0","0","0"
"225","Darwin","AW","0","0","0","0","0","0","0"
"226","Darwin","AW","0","0","0","0","0","0","0"
"227","Darwin","AW","0","0","0","0","0","0","0"
"228","Darwin","AW","0","0","0","0","0","0","0"
"229","Darwin","AW","0","0","0","0","0","0","0"
"230","Darwin","AW","0","0","0","0","0","0","0"
"231","Darwin","AW","0","0","0","0","0","0","0"
"232","Darwin","AW","0","0","0","0","0","0","0"
"233","Darwin","AW","0","0","0","0","0","0","0"
"234","Darwin","AW","0","0","0","0","0","0","0"
"235","Darwin","AW","0","0","0","0","0","0","0"
"236","Darwin","AW","0","0","0","0","0","0","0"
"237","Darwin","AW","0","0","0","0","0","0","0"
"238","Darwin","AW","0","0","0","0","0","0","0"
"239","Darwin","AW","0","0","0","0","0","0","0"
"240","Darwin","AW","0","0","0","0","0","0","0"
"241","Darwin","AW","0","0","0","0","0","0","0"
"242","Darwin","AW","0","0","0","0","0","0","0"
